id;documento
1;A declaração do dirigente partidário contraria o discurso do presidente Jair Bolsonaro (PL), candidato à reeleição pela legenda, que costuma atacar a Corte Eleitoral e as urnas eletrônicas, alegando que ninguém pode ter acesso à área do TSE onde os votos são somados antes da divulgação.
2;Cada vez mais questionada por suas decisões políticas, econômicas e ambientais, a nova primeira-ministra conservadora britânica, Liz Truss, nomeada em 6 de setembro como sucessora do polêmico Boris Johnson, anunciou dois dias depois o levantamento de uma moratória sobre o fraturamento hidráulico no Reino Unido.
3;o PT extrapolou (ultrapassou, passou) de todos os limites" e se mostrou inconformado com a reprodução das afirmações dadas em entrevista a um podcast que viralizou nas redes sociais, causou muita indignação e gerou comentários de repúdio de personalidades do meio político, cultural e de diversos setores da sociedade.
4;Desta vez, porém, ele aceitou o convite para ir ao confronto com Lula e muniu o chefe do Executivo de perguntas sobre os esquemas de corrupção do PT e a transferência de líderes do crime organizado para presídios federais.
5;A morte foi confirmada pelo Palácio de Buckingham depois da informação de que ela estava sob cuidados médicos e que a família mais próxima havia sido chamada ao Castelo de Balmoral, na Escócia, onde a rainha passava o verão.
6;Dentre os que mais colocaram a mão no bolso até aqui está o controlador da Cosan, Rubens Ometto, que lidera a lista com um desembolso de R$ 5,75 milhões para 24 diferentes destinos, mas com o PSD sendo o maior beneficiário.
7;Enquanto o projeto do líder do governo regulamenta a prisão, que pode ser de até dez anos, para quem não conseguir prever os resultados das eleições, dentro da margem de erro, a iniciativa do deputado do Cidadania define multa, que pode chegar a até R$ 1 milhão.
8;As fraudes envolviam, também, o superfaturamento de contratos com fornecedores da Assembléia, além de uma verdadeira "farra" com passagens aéreas distribuídas fartamente entre os parlamentares, seus familiares e amigos.
9;A fabricante Pfizer divulgou nota, em janeiro de 2021, na qual afirma que ofereceu ao governo brasileiro a possibilidade de compra de um lote de 70 milhões de doses da vacina contra a Covid ainda em agosto de 2020, com previsão de entrega a partir de dezembro de 2020.
10;Enquanto os nacionalistas escoceses se preparam para um novo referendo de independência, a Irlanda do Norte, lentamente, escorrega na direção da reunificação com a Irlanda, caso o governo de Truss não consiga renegociar o acordo de saída da União Europeia.
